chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
QQQ,2024-03-05,438.0000,call,sell,2024-03-05T17:40:09.591661Z,credit,4.00000,limit,,long_call,0.27000000,4.00000
QQQ,2024-03-05,438.0000,call,buy,2024-03-05T17:33:24.862968Z,debit,2.00000,limit,long_call,,0.38000000,2.00000
QQQ,2024-03-05,438.0000,call,buy,2024-03-05T17:32:38.933751Z,debit,2.00000,limit,long_call,,0.39000000,2.00000
QQQ,2024-03-06,438.0000,call,sell,2024-03-05T17:27:25.809587Z,credit,2.00000,limit,,long_call,1.40000000,2.00000
QQQ,2024-03-06,438.0000,call,buy,2024-03-05T17:27:02.393954Z,debit,2.00000,limit,long_call,,1.65000000,2.00000
SPY,2024-03-05,509.0000,call,sell,2024-03-05T15:37:32.166867Z,credit,2.00000,limit,,long_call,0.41000000,2.00000
SPY,2024-03-05,509.0000,call,buy,2024-03-05T15:37:05.178067Z,debit,2.00000,limit,long_call,,0.49000000,2.00000
TSLA,2024-03-08,190.0000,call,sell,2024-03-05T15:07:50.291237Z,credit,1.00000,limit,,long_call,1.20000000,1.00000
TSLA,2024-03-08,190.0000,call,buy,2024-03-05T15:07:23.211009Z,debit,1.00000,limit,long_call,,1.35000000,1.00000
AMD,2024-03-08,207.5000,call,sell,2024-03-05T14:47:41.047179Z,credit,1.00000,limit,,long_call,2.40000000,1.00000
AMD,2024-03-08,207.5000,call,buy,2024-03-05T14:46:50.112442Z,debit,1.00000,limit,long_call,,2.80000000,1.00000
SPY,2024-03-05,509.0000,put,sell,2024-03-05T14:43:47.269939Z,credit,1.00000,limit,,long_put,0.52000000,1.00000
SPY,2024-03-05,509.0000,put,buy,2024-03-05T14:42:15.897976Z,debit,1.00000,limit,long_put,,0.57000000,1.00000
QQQ,2024-03-05,442.0000,call,sell,2024-03-05T14:34:34.591611Z,credit,1.00000,limit,,long_call,0.33000000,1.00000
QQQ,2024-03-05,442.0000,call,buy,2024-03-05T14:32:37.114202Z,debit,1.00000,limit,long_call,,0.48000000,1.00000
SPY,2024-03-06,512.0000,put,sell,2024-03-04T15:56:04.476246Z,credit,1.00000,limit,,long_put,1.40000000,1.00000
SPY,2024-03-06,512.0000,put,buy,2024-03-04T15:43:48.590867Z,debit,1.00000,limit,long_put,,1.50000000,1.00000
QQQ,2024-03-01,443.0000,put,sell,2024-03-01T18:07:51.483792Z,credit,6.00000,limit,,long_put,0.15000000,6.00000
QQQ,2024-03-01,444.0000,put,sell,2024-03-01T18:07:29.870741Z,credit,10.00000,limit,,long_put,0.38000000,10.00000
QQQ,2024-03-01,444.0000,put,buy,2024-03-01T18:05:24.580072Z,debit,10.00000,limit,long_put,,0.44000000,10.00000
QQQ,2024-03-01,443.0000,put,sell,2024-03-01T17:36:07.911956Z,credit,1.00000,limit,,long_put,0.34000000,1.00000
